City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches last 3 hours,Snow inches last 3 hours
0,Ribeira Grande,PT,2020-04-20 01:41:36,38.52,-28.7,56.26,58,2,7.27,clear sky,0.0,0.0
1,Torbay,CA,2020-04-20 01:41:36,47.67,-52.73,36.0,100,90,26.4,moderate rain,1.27,0.0
2,Laguna,US,2020-04-20 01:41:20,38.42,-121.42,68.0,48,1,5.82,clear sky,0.0,0.0
3,Moissala,TD,2020-04-20 01:41:37,8.34,17.77,80.55,55,89,5.61,overcast clouds,0.0,0.0
4,Brownsville,US,2020-04-20 01:41:37,25.9,-97.5,86.0,70,1,8.05,clear sky,0.0,0.0
5,Deputatskiy,RU,2020-04-20 01:41:38,69.3,139.9,9.95,87,26,6.2,scattered clouds,0.0,0.0
6,Kasongo,CD,2020-04-20 01:41:38,-4.45,26.67,67.59,83,88,1.9,light rain,1.23,0.0
7,Caravelas,BR,2020-04-20 01:41:38,-17.71,-39.25,74.89,78,15,13.18,few clouds,0.0,0.0
8,Fukue,JP,2020-04-20 01:41:38,32.69,128.84,60.8,72,75,11.41,broken clouds,0.0,0.0
9,Teya,RU,2020-04-20 01:41:39,60.38,92.63,38.68,63,97,7.85,overcast clouds,0.0,0.0
10,Mount Gambier,AU,2020-04-20 01:41:39,-37.83,140.77,62.6,59,40,20.8,scattered clouds,0.0,0.0
11,Greensburg,US,2020-04-20 01:41:02,40.3,-79.54,51.8,53,40,6.93,scattered clouds,0.0,0.0
12,Rikitea,PF,2020-04-20 01:41:39,-23.12,-134.97,76.84,71,93,6.76,overcast clouds,0.0,0.0
13,Tasiilaq,GL,2020-04-20 01:35:30,65.61,-37.64,32.0,90,100,3.36,overcast clouds,0.0,0.0
14,Bowen,AU,2020-04-20 01:41:40,-20.02,148.23,86.0,66,73,5.82,broken clouds,0.0,0.0
15,Ayan,RU,2020-04-20 01:41:40,56.45,138.17,23.54,92,100,16.53,light snow,0.0,0.5
16,Tuktoyaktuk,CA,2020-04-20 01:37:19,69.45,-133.04,10.4,85,90,9.17,light snow,0.0,0.0
17,Victoria,HK,2020-04-20 01:38:10,22.29,114.16,82.0,85,22,5.01,few clouds,0.0,0.0
18,Khatanga,RU,2020-04-20 01:41:41,71.97,102.5,31.03,95,61,5.66,broken clouds,0.0,0.0
19,Prabumulih,ID,2020-04-20 01:41:42,-3.45,104.25,89.1,64,65,1.63,broken clouds,0.0,0.0
20,La Romana,DO,2020-04-20 01:41:42,18.43,-68.97,74.3,87,0,7.76,clear sky,0.0,0.0
21,Talavera,PH,2020-04-20 01:38:41,15.62,120.93,86.0,70,40,2.24,scattered clouds,0.0,0.0
22,La Ronge,CA,2020-04-20 01:38:20,55.1,-105.28,37.4,44,75,14.99,broken clouds,0.0,0.0
23,Narsaq,GL,2020-04-20 01:41:42,60.92,-46.05,24.8,41,1,6.93,clear sky,0.0,0.0
24,Thompson,CA,2020-04-20 01:41:43,55.74,-97.86,21.2,85,75,10.29,light snow,0.0,0.0
25,Kruisfontein,ZA,2020-04-20 01:41:43,-34.0,24.73,60.62,74,0,5.37,clear sky,0.0,0.0
26,Ahipara,NZ,2020-04-20 01:41:43,-35.17,173.17,64.58,90,100,5.86,moderate rain,4.35,0.0
27,Esperance,AU,2020-04-20 01:41:44,-33.87,121.9,60.8,67,0,12.75,clear sky,0.0,0.0
28,Tiarei,PF,2020-04-20 01:41:44,-17.53,-149.33,91.4,59,43,8.05,light rain,1.35,0.0
29,Saskylakh,RU,2020-04-20 01:41:44,71.92,114.08,22.86,95,17,2.73,few clouds,0.0,0.0
30,Pacific Grove,US,2020-04-20 01:41:44,36.62,-121.92,57.99,61,54,3.0,broken clouds,0.0,0.0
31,Puerto Cabello,VE,2020-04-20 01:41:45,10.47,-68.01,78.57,78,3,3.33,clear sky,0.0,0.0
32,Nishihara,JP,2020-04-20 01:41:45,26.18,127.76,66.2,93,90,6.93,shower rain,2.54,0.0
