City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2020-04-18 22:54:11,42.6,-73.97,46.99,55,76,11.52
1,Joensuu,FI,2020-04-18 22:54:11,62.6,29.76,36.0,74,75,9.17
2,Pacific Grove,US,2020-04-18 22:54:14,36.62,-121.92,62.6,51,90,10.29
3,Dawson Creek,CA,2020-04-18 22:54:14,55.77,-120.24,51.8,25,1,5.82
4,Riyadh,SA,2020-04-18 22:54:15,24.69,46.72,78.8,44,100,4.7
5,Muisne,EC,2020-04-18 22:54:15,0.6,-80.03,75.2,100,75,9.17
6,Dunedin,NZ,2020-04-18 22:53:05,-45.87,170.5,59.0,54,72,1.01
7,Tessalit,ML,2020-04-18 22:50:31,20.2,1.01,83.89,12,4,7.76
8,Buala,SB,2020-04-18 22:51:09,-8.14,159.59,83.89,71,72,2.86
9,Hobart,AU,2020-04-18 22:49:19,-42.88,147.33,48.99,87,75,6.93
10,Barentu,ER,2020-04-18 22:54:16,15.11,37.59,67.93,27,40,3.02
11,Novokruchininskiy,RU,2020-04-18 22:54:16,51.78,113.77,23.0,67,40,8.95
12,Wanning,CN,2020-04-18 22:51:30,18.8,110.4,77.97,84,3,9.53
13,Nikel,RU,2020-04-18 22:54:17,69.41,30.22,35.6,80,95,17.22
14,Ushuaia,AR,2020-04-18 22:53:05,-54.8,-68.3,48.2,57,40,3.91
15,Provideniya,RU,2020-04-18 22:54:17,64.38,-173.3,23.2,96,100,13.89
16,Bedesa,ET,2020-04-18 22:54:17,8.9,40.78,62.08,59,100,5.03
17,Vaini,TO,2020-04-18 22:50:49,-21.2,-175.2,80.6,74,40,11.41
18,Hithadhoo,MV,2020-04-18 22:50:09,-0.6,73.08,83.93,73,79,11.03
19,Thompson,CA,2020-04-18 22:54:18,55.74,-97.86,17.6,44,20,18.34
20,Atambua,ID,2020-04-18 22:54:18,-9.11,124.89,78.22,66,56,1.36
21,Tuktoyaktuk,CA,2020-04-18 22:54:18,69.45,-133.04,10.4,78,75,9.17
22,Newport,GB,2020-04-18 22:54:19,51.59,-3.0,50.0,97,70,9.82
23,Port Alfred,ZA,2020-04-18 22:54:19,-33.59,26.89,63.0,91,0,4.0
24,Balabac,PH,2020-04-18 22:54:19,7.99,117.06,84.81,75,36,8.88
25,Saint-Philippe,RE,2020-04-18 22:49:58,-21.36,55.77,77.0,83,20,19.46
26,Coquimbo,CL,2020-04-18 22:53:25,-29.95,-71.34,60.8,82,20,10.29
